Model,Metric,Subset,Reported,Reproduced,AbsDiff,PctDiff
Att-CNN,Accuracy,SE.1,0.22,0.1862,-0.0338,-15.36
Att-CNN,Accuracy,SE.2,0.26,0.1921,-0.0679,-26.12
Att-CNN,Accuracy,SE.3,0.37,0.2698,-0.1002,-27.08
Att-CNN,Accuracy,SE.4,0.48,0.3997,-0.0803,-16.73
Att-CNN,Accuracy,SE.5,0.58,0.5267,-0.0533,-9.19
Att-CNN,Accuracy,SE.6,0.66,0.5926,-0.0674,-10.21
Att-CNN,Accuracy,SE.7,0.73,0.6662,-0.0638,-8.74
Att-CNN,Accuracy,SE.8,0.77,0.6827,-0.0873,-11.34
Att-CNN,Precision,SE.1,0.21,0.0197,-0.1903,-90.62
Att-CNN,Precision,SE.2,0.16,0.0659,-0.0941,-58.81
Att-CNN,Precision,SE.3,0.26,0.1349,-0.1251,-48.12
Att-CNN,Precision,SE.4,0.41,0.3254,-0.0846,-20.63
Att-CNN,Precision,SE.5,0.57,0.4823,-0.0877,-15.39
Att-CNN,Precision,SE.6,0.64,0.5806,-0.0594,-9.28
Att-CNN,Precision,SE.7,0.74,0.6525,-0.0875,-11.82
Att-CNN,Precision,SE.8,0.79,0.6845,-0.1055,-13.35
Att-CNN,Recall,SE.1,0.2,0.0729,-0.1271,-63.55
Att-CNN,Recall,SE.2,0.25,0.0744,-0.1756,-70.24
Att-CNN,Recall,SE.3,0.3,0.1593,-0.1407,-46.9
Att-CNN,Recall,SE.4,0.41,0.3026,-0.1074,-26.2
Att-CNN,Recall,SE.5,0.59,0.4285,-0.1615,-27.37
Att-CNN,Recall,SE.6,0.69,0.5185,-0.1715,-24.86
Att-CNN,Recall,SE.7,0.74,0.5886,-0.1514,-20.46
Att-CNN,Recall,SE.8,0.79,0.6153,-0.1747,-22.11
Att-CNN,F-score,SE.1,0.16,0.031,-0.129,-80.62
Att-CNN,F-score,SE.2,0.19,0.0458,-0.1442,-75.89
Att-CNN,F-score,SE.3,0.27,0.1165,-0.1535,-56.85
Att-CNN,F-score,SE.4,0.4,0.3044,-0.0956,-23.9
Att-CNN,F-score,SE.5,0.56,0.434,-0.126,-22.5
Att-CNN,F-score,SE.6,0.66,0.5398,-0.1202,-18.21
Att-CNN,F-score,SE.7,0.74,0.6017,-0.1383,-18.69
Att-CNN,F-score,SE.8,0.79,0.6345,-0.1555,-19.68
Att-BiLSTM,Accuracy,SE.1,0.3,0.1653,-0.1347,-44.9
Att-BiLSTM,Accuracy,SE.2,0.45,0.1943,-0.2557,-56.82
Att-BiLSTM,Accuracy,SE.3,0.46,0.3092,-0.1508,-32.78
Att-BiLSTM,Accuracy,SE.4,0.6,0.3335,-0.2665,-44.42
Att-BiLSTM,Accuracy,SE.5,0.66,0.4424,-0.2176,-32.97
Att-BiLSTM,Accuracy,SE.6,0.72,0.5263,-0.1937,-26.9
Att-BiLSTM,Accuracy,SE.7,0.75,0.6117,-0.1383,-18.44
Att-BiLSTM,Accuracy,SE.8,0.79,0.6456,-0.1444,-18.28
Att-BiLSTM,Precision,SE.1,0.34,0.0498,-0.2902,-85.35
Att-BiLSTM,Precision,SE.2,0.42,0.1244,-0.2956,-70.38
Att-BiLSTM,Precision,SE.3,0.42,0.222,-0.198,-47.14
Att-BiLSTM,Precision,SE.4,0.59,0.2754,-0.3146,-53.32
Att-BiLSTM,Precision,SE.5,0.65,0.387,-0.263,-40.46
Att-BiLSTM,Precision,SE.6,0.7,0.4779,-0.2221,-31.73
Att-BiLSTM,Precision,SE.7,0.76,0.5822,-0.1778,-23.39
Att-BiLSTM,Precision,SE.8,0.81,0.6268,-0.1832,-22.62
Att-BiLSTM,Recall,SE.1,0.33,0.1031,-0.2269,-68.76
Att-BiLSTM,Recall,SE.2,0.39,0.1198,-0.2702,-69.28
Att-BiLSTM,Recall,SE.3,0.42,0.2186,-0.2014,-47.95
